STATE,state,year,wbgt_26_diff,wbgt_30_diff
IL,17,1992,5.371980933745098,0.07237356621480709
IL,17,1993,9.636054602947617,0.015924650729060456
IL,17,1994,3.1426088503134437,0.00444258706275364
IL,17,1995,5.77896436822364,0.8007279138089984
IL,17,1996,4.77634897687412,0.0025138231570380667
IL,17,1997,5.017509838684379,0.13769990500230533
IL,17,1998,7.531020358342879,0.6715562549442174
IL,17,1999,5.7523653676511515,0.5553305662595442
IL,17,2000,9.051262526179288,0.31794716004399465
IL,17,2001,6.963165694502514,1.3283635718457725
IL,17,2002,9.339609177054928,0.32692282131827954
IL,17,2003,3.9057962532456987,0.13057194032478442
IL,17,2004,5.940439932173143,0.4607757906000515
IL,17,2005,11.36482018987703,1.5993186895324236
IL,17,2006,7.655689285404961,0.3803302552544874
IL,17,2007,7.898884068198743,0.14367230971424022
IL,17,2008,7.237622513969968,0.05167262723892818
IL,17,2009,3.7986685328871372,-0.0019440640216275337
IL,17,2010,10.83355113427956,1.9204420359819936
IL,17,2011,10.101656031065101,1.7558632494378874
IL,17,2012,9.84956503933602,0.23451898311709896
IL,17,2013,6.90160348969099,0
IL,17,2014,7.422163891182787,0.29725461122314145
IL,17,2015,8.777415569326372,0.5196303941689903
IL,17,2016,14.481162864732141,0.42630462812364467
IL,17,2017,7.9717533055597425,0.6579225206837529
IL,17,2018,11.178330499733956,0.13862486756316383
IL,17,2019,9.096020153804787,-0.11017328163627482
IL,17,2020,6.648640327024616,0.06652055742884794
IN,18,1982,0.969909469871892,0.09772680360309338
IN,18,1983,0.7729583623595744,0.3007646006390927
IN,18,1984,0.9722988966228296,0.0026133003232239873
IN,18,1985,0.7564954580513401,0
IN,18,1986,1.8840476024367359,0
IN,18,1987,1.3880863630258808,0.1767533459129701
IN,18,1988,0.40844633203946756,0.0672855419764875
IN,18,1989,0.25030129750825125,-0.010938842991173446
IN,18,1990,0.5405260076815992,0.2839225844325214
IN,18,1991,1.2026548522281963,0.12692845517273
IN,18,1992,0.7864414380381843,0
IN,18,1993,1.2943939388701402,0.018934965499850995
IN,18,1994,0.5033372592165861,0
IN,18,1995,0.05200532292109372,0.05903855599425567
IN,18,1996,0.5562609320582581,0
IN,18,1997,0.6701635873501992,0.02014706334108496
IN,18,1998,1.1707928751090861,0.12429637748274962
IN,18,1999,0.5123015607127215,-0.017686232632049714
IN,18,2000,1.1162696460104176,-0.028806968958221532
IN,18,2001,0.7983928517050565,0.05978165347154346
IN,18,2002,1.0788588524091338,0.08325883135043441
IN,18,2003,0.8345265236040493,0.21729362950736997
IN,18,2004,1.044098875952372,0.13259060587304863
IN,18,2005,0.8836004447204218,0.2295166302708742
IN,18,2006,0.9319649179917118,-0.012829827008637884
IN,18,2007,-0.057334386677752036,0.15967017754127616
IN,18,2008,1.5498771420579827,0
IN,18,2009,0.6564246240202234,0
IN,18,2010,0.9943625761743462,0.8377964592857354
IN,18,2011,0.7433175325772687,0.7385449596283922
IN,18,2012,1.702576369830016,0.26728165997343867
IN,18,2013,0.6536946184108228,0
IN,18,2014,0.7267003465844084,0.024972395546824924
IN,18,2015,0.26821378843713894,0.0498083278207828
IN,18,2016,1.2265599915898058,5.272448020539624e-4
IN,18,2017,0.6849451312928228,0.12326400969186495
IN,18,2018,0.7266709014990873,0.027333272602169504
IN,18,2019,1.3836769859889557,-0.026002304836978553
IN,18,2020,1.500160055496222,0.02065438924316024
KS,20,1982,-0.38663600518490426,0.03933053879734605
KS,20,1983,0.5876110604629687,0.22628359627186523
KS,20,1984,1.4417132375162467,0.11666615959921117
KS,20,1985,1.0084181145815378,0.10763578925027634
KS,20,1986,0.419203045134914,0.17053136052276552
KS,20,1987,0.7032334279012318,-0.0028048108208892563
KS,20,1988,0.25950883492669163,0.15343889780850628
KS,20,1989,1.133112424459373,0.004247671949027937
KS,20,1990,2.3688109253309904,-0.007331609729298302
KS,20,1991,3.220715308803257,0.010074606545771388
KS,20,1992,0.662793260762637,0
KS,20,1993,1.5681415941165682,0.17061713168910334
KS,20,1994,2.3111323803055193,0
KS,20,1995,2.577241371581451,0.8488872670859104
KS,20,1996,1.518276302700201,0.3677772275257589
KS,20,1997,1.1733697136689045,0.3163207688652575
KS,20,1998,1.128373024075529,0.9399287997868957
KS,20,1999,1.0566226226559436,1.2737333913900164
KS,20,2000,1.6099020713338419,0.9415855408657513
KS,20,2001,2.7491241505448585,2.4933515780667923
KS,20,2002,2.638032915730882,1.4615460663735729
KS,20,2003,0.7500166688990717,1.2607032886093645
KS,20,2004,3.17088059924248,0.5050897035582935
KS,20,2005,2.1135965948136004,0.09123323808816564
KS,20,2006,1.975490697021364,-0.0012081275441262473
KS,20,2007,1.006904204487718,-0.18775422132576405
KS,20,2008,-0.2448011913161139,-0.04909750075590802
KS,20,2009,1.2458743635372294,0.0719124027589309
KS,20,2010,1.0949225077015896,1.9414758430214065
KS,20,2011,1.3262359077686625,0.8889436770444035
KS,20,2012,0.7781504179227241,0.30020767277166416
KS,20,2013,1.6286899761359876,0.1127825147487842
KS,20,2014,2.1887602294002733,0.31724230560005706
KS,20,2015,1.8722777639963653,0.07662706385920015
KS,20,2016,2.9954873699853692,0.2028534197221234
KS,20,2017,4.028269975175576,0.44660178112778137
KS,20,2018,4.533442602669439,0.31665916530813365
KS,20,2019,2.7303969666801535,0.7943176290189069
KS,20,2020,2.85842329479604,0.12011933813380515
KY,21,1982,0.019741485764711797,0.012777819940407605
KY,21,1983,0.5173500338565873,-0.08938022016378877
KY,21,1984,0.35453466457823524,0.0012317904092759221
KY,21,1985,0.23405920107043343,0
KY,21,1986,0.9654435663511656,0.06526819666984457
